1	1.03	0.94
2	0.88	0.89
3	0.88	0.89
4	0.89	0.87
5	0.92	0.87
6	1.59	2.00
7	1.05	1.04
8	1.40	1.01
9	1.05	1.04
10	1.01	1.12
11	1.05	1.06
12	1.03	1.01
13	1.01	1.05
14	1.03	1.03
15	1.22	1.04
16	1.13	1.06
17	1.06	1.11
18	1.02	1.05
19	1.03	1.04
20	1.04	1.00
21	1.04	1.03
22	1.05	1.01
23	1.00	1.01
24	1.07	1.26
25	1.11	1.01
26	1.05	1.47
27	1.06	1.06
28	2.02	1.28
29	1.48	1.05
30	1.28	1.27
31	1.03	1.26
32	1.07	1.00
33	1.05	1.02
34	1.06	1.02
35	1.02	1.11
36	1.45	1.02
37	1.03	1.02
38	1.01	1.06
39	1.05	1.04
40	1.04	1.02
41	1.04	1.01
42	1.04	1.05
43	1.00	1.05
44	1.06	1.05
45	1.02	1.00
46	1.01	1.00
47	1.18	1.00
48	1.01	1.29
49	1.45	1.07
50	1.04	1.02
51	1.03	1.01
52	1.01	1.26
53	1.01	1.00
54	1.05	1.01
55	1.02	1.02
56	1.04	1.00
57	1.08	1.00
58	1.04	1.12
59	1.02	1.05
60	1.03	1.05
61	1.02	1.03
62	1.01	1.01
63	1.08	1.70
64	1.43	1.53
65	1.34	1.64
66	1.23	1.33
67	1.22	1.00
68	1.81	1.30
69	1.07	1.04
70	6.11	2.98
71	2.50	4.29
72	1.90	2.11
73	2.19	1.14
74	1.19	1.02
75	1.28	1.02
76	1.16	5.85
77	4.87	2.05
78	3.81	13.07
79	2.26	1.65
80	1.40	1.19
81	1.02	1.25
82	1.35	1.65
83	1.88	1.18
84	1.25	1.02
85	1.04	1.02
86	1.29	1.03
87	1.04	1.04
88	1.01	1.77
89	1.36	1.02
90	1.48	1.31
91	1.01	1.28
92	1.07	1.02
93	1.00	1.02
94	1.28	1.07
95	1.29	1.10
96	1.01	1.00
97	1.00	1.01
98	1.01	1.05
99	1.33	1.13
100	1.05	1.01
101	1.22	1.06
102	1.03	1.73
103	1.13	1.02
104	0.89	0.89
105	0.88	0.94
106	0.88	0.88
107	0.91	1.13
108	2.41	1.15
109	0.87	1.13
110	0.88	0.88
111	1.13	0.89
112	0.89	0.89
113	0.88	0.87
114	0.87	1.13
115	1.12	0.88
116	1.13	0.87
117	0.89	0.89
